"Omniscope-E4620C205B383535"
0,25
1,26
2,28
3,29
4,31
5,33
6,35
7,37
8,39
9,41
10,43
11,45
12,47
13,49
14,51
15,53
16,55
17,57
18,59
19,61
20,62
21,68
22,70
23,72
24,73
25,74
26,75
27,76
28,77
29,77
30,78
31,78
32,78
33,78
34,78
35,78
36,77
37,77
38,77
39,76
40,75
41,74
42,73
43,72
44,71
45,70
46,68
47,62
48,60
49,58
50,56
51,54
52,52
53,51
54,49
55,47
56,44
57,43
58,40
59,38
60,37
61,35
62,33
63,31
64,29
65,28
66,26
67,25
68,23
69,22
70,21
71,20
72,16
73,16
74,15
75,14
76,14
77,14
78,14
79,15
80,15
81,15
82,15
83,16
84,17
85,18
86,19
87,20
88,21
89,22
90,24
91,25
92,26
93,28
94,30
95,31
96,39
97,41
98,43
99,45
100,47
101,49
102,51
103,53
104,55
105,57
106,59
107,60
108,62
109,64
110,66
111,67
112,69
113,70
114,71
115,73
116,74
117,75
118,76
119,77
120,77
121,79
122,78
123,78
124,78
125,77
126,77
127,76
128,75
129,74
130,73
131,72
132,71
133,70
134,68
135,67
136,65
137,63
138,62
139,60
140,58
141,56
142,54
143,52
144,50
145,48
146,46
147,39
148,37
149,35
150,32
151,31
152,29
153,28
154,26
155,25
156,23
157,22
158,21
159,19
160,18
161,17
162,16
163,16
164,16
165,15
166,15
167,14
168,14
169,14
170,14
171,15
172,17
173,18
174,19
175,20
176,21
177,22
178,23
179,25
180,27
181,28
182,30
183,31
184,33
185,35
186,37
187,39
188,41
189,43
190,45
191,47
192,49
193,51
194,53
195,55
196,57
197,64
198,66
199,67
200,69
201,70
202,72
203,73
204,73
205,74
206,76
207,77
208,77
209,78
210,78
211,78
212,78
213,78
214,78
215,77
216,77
217,76
218,76
219,75
220,74
221,73
222,68
223,67
224,65
225,64
226,62
227,60
228,58
229,56
230,54
231,53
232,51
233,49
234,46
235,45
236,43
237,40
238,39
239,36
240,34
241,33
242,31
243,29
244,27
245,26
246,20
247,19
248,19
249,17
250,17
251,16
252,16
253,15
254,14
255,14
256,14
257,14
258,14
259,15
260,16
261,16
262,16
263,17
264,18
265,19
266,20
267,21
268,22
269,24
270,25
271,27
272,33
273,35
274,37
275,39
276,41
277,43
278,45
279,47
280,49
281,51
282,53
283,55
284,57
285,58
286,60
287,62
288,64
289,66
290,67
291,69
292,70
293,71
294,73
295,73
296,77
297,77
298,78
299,78
300,78
301,78
302,78
303,77
304,77
305,77
306,76
307,75
308,74
309,73
310,72
311,71
312,70
313,68
314,67
315,65
316,64
317,62
318,60
319,59
320,56
321,55
322,47
323,45
324,42
325,40
326,39
327,37
328,35
329,33
330,31
331,29
332,28
333,26
334,25
335,23
336,22
337,21
338,20
339,19
340,18
341,17
342,16
343,15
344,15
345,15
346,14
347,15
348,15
349,16
350,16
351,17
352,17
353,18
354,19
355,21
356,22
357,24
358,25
359,27
360,28
361,29
362,31
363,33
364,35
365,37
366,39
367,41
368,43
369,45
370,47
371,55
372,57
373,59
374,61
375,62
376,64
377,66
378,68
379,69
380,70
381,72
382,73
383,74
384,75
385,76
386,76
387,77
388,78
389,78
390,78
391,78
392,78
393,78
394,78
395,77
396,77
397,73
398,72
399,71
400,70
401,68
402,67
403,65
404,63
405,61
406,60
407,58
408,56
409,54
410,52
411,50
412,48
413,46
414,45
415,43
416,40
417,38
418,36
419,34
420,33
421,31
422,24
423,24
424,22
425,20
426,20
427,18
428,18
429,17
430,16
431,15
432,15
433,14
434,14
435,14
436,14
437,14
438,15
439,15
440,16
441,16
442,17
443,18
444,19
445,20
446,25
447,27
448,28
449,30
450,31
451,33
452,35
453,37
454,39
455,41
456,43
457,45
458,47
459,49
460,50
461,53
462,55
463,57
464,59
465,61
466,62
467,64
468,66
469,67
470,69
471,74
472,74
473,75
474,77
475,77
476,78
477,78
478,78
479,78
480,79
481,78
482,78
483,77
484,77
485,76
486,75
487,74
488,73
489,72
490,71
491,70
492,68
493,67
494,65
495,64
496,56
497,54
498,53
499,50
500,48
501,46
502,44
503,43
504,40
505,38
506,37
507,35
508,33
509,31
510,29
511,27
512,26
513,25
514,23
515,21
516,20
517,19
518,18
519,18
520,17
521,14
522,14
523,14
524,14
525,14
526,15
527,15
528,16
529,16
530,17
531,18
532,18
533,20
534,21
535,22
536,24
537,25
538,27
539,28
540,30
541,31
542,33
543,35
544,37
545,39
546,41
547,49
548,51
549,53
550,55
551,57
552,59
553,61
554,62
555,64
556,66
557,67
558,69
559,70
560,71
561,73
562,74
563,74
564,76
565,77
566,77
567,78
568,78
569,79
570,78
571,78
572,77
573,76
574,75
575,74
576,73
577,72
578,71
579,69
580,68
581,67
582,65
583,64
584,62
585,60
586,58
587,56
588,54
589,52
590,50
591,48
592,46
593,44
594,42
595,40
596,33
597,31
598,29
599,28
600,26
601,24
602,23
603,22
604,21
605,19
606,18
607,17
608,17
609,16
610,16
611,15
612,14
613,14
614,14
615,14
616,14
617,15
618,15
619,16
620,16
621,20
622,21
623,22
624,24
625,25
626,27
627,28
628,30
629,31
630,33
631,35
632,37
633,39
634,41
635,43
636,45
637,47
638,49
639,51
640,53
641,55
642,57
643,59
644,61
645,63
646,64
647,70
648,71
649,73
650,74
651,75
652,76
653,76
654,77
655,78
656,78
657,78
658,78
659,78
660,78
661,78
662,77
663,77
664,76
665,75
666,75
667,73
668,72
669,71
670,70
671,64
672,62
673,60
674,58
675,57
676,54
677,52
678,50
679,49
680,46
681,45
682,42
683,40
684,38
685,37
686,35
687,33
688,31
689,29
690,28
691,26
692,24
693,23
694,22
695,21
696,17
697,16
698,15
699,15
700,14
701,14
702,14
703,14
704,14
705,15
706,15
707,15
708,16
709,17
710,18
711,19
712,19
713,21
714,22
715,23
716,25
717,26
718,28
719,29
720,32
